epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0846,3.70191,7.80129,2.90115,0.15789,0.00498,0.005,0.0025,3.60956,7.10939,2.87324,0.000536506,0.000536506,0.000536506
2,32.4427,3.58764,7.4108,2.81349,0.05085,0.00498,0.00375,0.0025,3.61929,6.63929,2.81285,0.00103811,0.00103811,0.00103811
3,37.5708,3.50446,6.43428,2.70436,0,0,0,0,3.4333,6.31727,2.71347,0.0014847,0.0014847,0.0014847
4,42.9741,3.47762,5.56424,2.70316,0.05128,0.00332,0.0025,0.001,3.32368,5.57452,2.6445,0.00141945,0.00141945,0.00141945
5,48.6718,3.47853,5.02054,2.71394,0.00077,0.01329,0.00069,0.0003,3.35387,10.264,2.66444,0.00133693,0.00133693,0.00133693
6,54.1926,3.42014,4.63174,2.67604,0.00154,0.0814,0.00228,0.00102,3.28684,5.01428,2.61487,0.00125442,0.00125442,0.00125442
7,59.772,3.41203,4.44042,2.68545,0.00106,0.15282,0.00051,0.00011,3.26272,5.09578,2.59194,0.0011719,0.0011719,0.0011719
8,65.54,3.36377,4.3702,2.65647,0.00104,0.21262,0.00076,0.00018,3.23114,7.0082,2.5933,0.00108938,0.00108938,0.00108938
9,71.1765,3.38951,4.32595,2.64843,0.00145,0.23754,0.00207,0.00055,3.27365,5.04786,2.65703,0.00100687,0.00100687,0.00100687
10,76.7665,3.37186,4.33371,2.63,0.0019,0.19103,0.00115,0.00023,3.22221,4.82445,2.64293,0.000924352,0.000924352,0.000924352
11,98.1521,3.37045,4.48059,2.77682,0.00134,0.2691,0.00151,0.00028,3.18434,5.28829,2.63591,0.000841835,0.000841835,0.000841835
12,103.799,3.37581,4.50848,2.77853,0.00146,0.23422,0.00144,0.00027,3.15113,5.36921,2.63995,0.000759318,0.000759318,0.000759318
13,109.705,3.4004,4.41351,2.8039,0.00109,0.24419,0.00123,0.00027,3.13055,6.49447,2.6245,0.000676802,0.000676802,0.000676802
14,115.36,3.32032,4.32182,2.76415,0.00142,0.31728,0.00276,0.00058,3.12956,6.1529,2.63445,0.000594286,0.000594286,0.000594286
15,120.96,3.34065,4.42153,2.76105,0.00161,0.30731,0.00218,0.00048,3.12192,5.47728,2.63381,0.000511769,0.000511769,0.000511769
16,126.516,3.18032,4.40755,2.67917,0.00274,0.21927,0.00153,0.00034,3.11228,4.89255,2.61498,0.000429253,0.000429253,0.000429253
17,132.02,3.24026,4.325,2.73319,0.00291,0.18937,0.00255,0.00117,3.0831,4.73972,2.59058,0.000346736,0.000346736,0.000346736
18,137.491,3.18341,4.28997,2.7222,0.00297,0.19435,0.00643,0.00433,3.03684,4.73666,2.55461,0.00026422,0.00026422,0.00026422
19,143.038,3.28592,4.50133,2.69115,0.00286,0.20266,0.0016,0.00041,3.01267,4.78302,2.54567,0.000181703,0.000181703,0.000181703
20,148.559,3.20866,4.3599,2.77272,0.00269,0.19934,0.00134,0.00033,3.01123,4.83972,2.54926,9.91865e-05,9.91865e-05,9.91865e-05
