epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3186,0.79359,53.0599,0.74191,1e-05,0.06667,0,0,1.28739,50.0091,1.20787,0.000554592,0.000554592,0.000554592
2,131.276,1.02348,7.44112,0.94112,0,0,0,0,1.20251,3.05968,1.9953,0.00107362,0.00107362,0.00107362
3,195.456,1.25707,2.30162,1.13073,0,0,0,0,1.33054,2.40229,4.27421,0.00155597,0.00155597,0.00155597
4,259.042,1.24737,2.38591,1.10447,0,0,0,0,1.21233,2.22592,1.0093,0.00150197,0.00150197,0.00150197
5,321.879,1.01109,2.01905,0.89984,0,0,0,0,1.04027,2.32113,0.8759,0.00144696,0.00144696,0.00144696
6,384.97,1.06482,2.23201,0.9376,0,0,0,0,1.07081,2.14036,0.88068,0.00139195,0.00139195,0.00139195
7,448.469,1.05426,2.2424,0.94643,0,0,0,0,1.18144,2.11664,0.97213,0.00133693,0.00133693,0.00133693
8,511.734,1.02264,2.1945,0.94374,0,0,0,0,1.04643,2.09905,0.83719,0.00128192,0.00128192,0.00128192
9,574.746,0.97291,2.1195,0.86998,0,0,0,0,1.01303,2.11732,0.86395,0.00122691,0.00122691,0.00122691
10,637.809,0.95854,2.16075,0.86002,0,0,0,0,0.98187,2.1562,0.83633,0.0011719,0.0011719,0.0011719
11,701.187,1.00977,2.20206,0.92002,0,0,0,0,0.93067,2.02398,0.80967,0.00111689,0.00111689,0.00111689
12,764.101,0.94656,2.17766,0.85644,0,0,0,0,0.91923,2.10995,0.81965,0.00106188,0.00106188,0.00106188
13,826.953,0.96271,2.25786,0.85051,0,0,0,0,0.93715,2.05274,0.80693,0.00100687,0.00100687,0.00100687
14,890.013,0.90505,2.0535,0.81656,0,0,0,0,1.07322,2.13264,1.83579,0.000951857,0.000951857,0.000951857
15,953.485,0.9946,2.2486,0.9111,0,0,0,0,0.81291,2.0182,0.74708,0.000896846,0.000896846,0.000896846
16,1016.76,0.91514,2.15945,0.86345,0,0,0,0,0.86597,2.04564,0.80395,0.000841835,0.000841835,0.000841835
17,1079.96,0.91948,2.1381,0.82432,0,0,0,0,0.81708,2.09909,0.7646,0.000786824,0.000786824,0.000786824
18,1142.97,0.81745,1.9373,0.74892,0,0,0,0,0.84137,2.03413,0.74192,0.000731813,0.000731813,0.000731813
19,1206.19,0.85868,2.16809,0.80773,0,0,0,0,0.86802,2.08481,0.75706,0.000676802,0.000676802,0.000676802
20,1269.14,0.86505,2.0128,0.80656,0,0,0,0,0.92725,2.03529,0.84019,0.000621791,0.000621791,0.000621791
21,1339.01,0.50378,1.25861,0.50766,0,0,0,0,0.7054,2.01373,0.67261,0.00056678,0.00056678,0.00056678
22,1400.05,0.50597,1.26888,0.50946,0,0,0,0,0.73723,2.00848,0.71892,0.000511769,0.000511769,0.000511769
23,1460.82,0.46534,1.17377,0.47894,0,0,0,0,0.72047,1.91845,0.70583,0.000456758,0.000456758,0.000456758
24,1523.44,0.52195,1.24022,0.50529,0,0,0,0,0.74953,1.85088,0.78652,0.000401747,0.000401747,0.000401747
25,1584.53,0.50304,1.23696,0.50644,0,0,0,0,0.65993,1.81663,0.66988,0.000346736,0.000346736,0.000346736
26,1645.56,0.44707,1.17792,0.44901,0,0,0,0,0.6673,1.86956,0.67409,0.000291725,0.000291725,0.000291725
27,1706.7,0.43577,1.1885,0.46261,0,0,0,0,0.67087,1.85186,0.76081,0.000236714,0.000236714,0.000236714
28,1767.56,0.44233,1.16465,0.45819,0,0,0,0,0.68811,1.83341,0.72096,0.000181703,0.000181703,0.000181703
29,1828.56,0.45175,1.14284,0.45515,0.01754,0.03333,0.00083,0.00075,0.72375,1.78166,0.8063,0.000126692,0.000126692,0.000126692
30,1889.59,0.43252,1.10405,0.45656,0,0,0,0,0.72458,1.80939,0.7923,7.1681e-05,7.1681e-05,7.1681e-05
